1.00000e+00,2.00000e+00,0.00000e+00,0.00000e+00,2.00000e+03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.00000e+00
8.70000e+01,1.14000e+02,2.50000e+00,-6.55000e+01,4.77340e-02
8.90000e+01,1.18000e+02,5.00000e-01,-6.15000e+01,2.98460e-03
9.20000e+01,1.12000e+02,-2.50000e+00,-6.75000e+01,3.49540e-02
9.30000e+01,1.07000e+02,-3.50000e+00,-7.25000e+01,2.67493e-02
9.30000e+01,1.16000e+02,-3.50000e+00,-6.35000e+01,4.21995e-02
9.30000e+01,1.21000e+02,-3.50000e+00,-5.85000e+01,3.93959e-02
9.60000e+01,1.20000e+02,-6.50000e+00,-5.95000e+01,3.51954e-02
9.60000e+01,1.26000e+02,-6.50000e+00,-5.35000e+01,8.24874e-02
9.70000e+01,1.11000e+02,-7.50000e+00,-6.85000e+01,7.34759e-02
9.70000e+01,1.16000e+02,-7.50000e+00,-6.35000e+01,1.01136e-01
9.90000e+01,1.21000e+02,-9.50000e+00,-5.85000e+01,1.38767e-01
9.90000e+01,1.32000e+02,-9.50000e+00,-4.75000e+01,1.38767e-01
1.00000e+02,1.17000e+02,-1.05000e+01,-6.25000e+01,1.38370e-01
1.00000e+02,1.25000e+02,-1.05000e+01,-5.45000e+01,1.38370e-01
1.01000e+02,1.11000e+02,-1.15000e+01,-6.85000e+01,6.55273e-02
1.02000e+02,1.21000e+02,-1.25000e+01,-5.85000e+01,1.37376e-01
1.02000e+02,1.26000e+02,-1.25000e+01,-5.35000e+01,1.15903e-03
1.03000e+02,1.15000e+02,-1.35000e+01,-6.45000e+01,1.55846e-01
1.05000e+02,1.21000e+02,-1.55000e+01,-5.85000e+01,1.35453e-01
